序号,标题,URL,视频ID,类型,关键词,获取时间
13,维尼熊拉清单,https://www.youtube.com/watch?v=YXoj7L9dYzg&pp=ygUM57u05bC85Zu9546L,YXoj7L9dYzg,watch,维尼国王,2025-08-18 18:02:34
14,王局会放弃中国国籍吗？,https://www.youtube.com/shorts/-h3v6BF0-os,-h3v6BF0-os,shorts,维尼国王,2025-08-18 18:02:34
15,跳跳虎當國王,https://www.youtube.com/watch?v=8NL7Un4Jb5k&pp=ygUM57u05bC85Zu9546L,8NL7Un4Jb5k,watch,维尼国王,2025-08-18 18:02:34
16,🔴 LIVE【漢我遊橫琴+澳門】DAY 1 | 澳門的後花園 橫琴,https://www.youtube.com/watch?v=4IZz-8-c2Jc&pp=ygUM57u05bC85Zu9546L,4IZz-8-c2Jc,watch,维尼国王,2025-08-18 18:02:34
17,"是戳到誰的弱小心靈? 英國恐怖電影""小熊維尼""疑被封殺香港上映突喊卡 小熊維尼惹到習近平? 多年來在中國被禁｜記者 姚懷真｜【國際大現場】20230322｜三立新聞台",https://www.youtube.com/watch?v=s5c9Wop-YHo&pp=ygUM57u05bC85Zu9546L0gcJCa0JAYcqIYzv,s5c9Wop-YHo,watch,维尼国王,2025-08-18 18:02:34
18,【辱包】维尼熊与萨格尔王（原曲：白月光与朱砂痣 - 大籽）「真人演唱」,https://www.youtube.com/watch?v=OXyQ65KWCs8&list=RDOXyQ65KWCs8&start_radio=1&pp=ygUM57u05bC85Zu9546LoAcB,OXyQ65KWCs8,watch,维尼国王,2025-08-18 18:02:34
1,習近平的外交魅力時刻 | 秘魯APEC會議 | 自己嚇自己 |,https://www.youtube.com/watch?v=ItR0Y-7NmvM&pp=ygUM5Lmg5Lmg6Juk6Juk,ItR0Y-7NmvM,watch,习习蛤蛤,2025-08-18 18:03:14
2,【路德社】川普特使威特科夫称普京同意“类北约”式对乌克兰安全保证，乌克兰加入北约将成事实，美俄都同意，普京如此巨大让步背后意味着什么8/17/2025 Mascot【ludepress.com],https://www.youtube.com/watch?v=WWwoosp9Nog&pp=ygUM5Lmg5Lmg6Juk6Juk,WWwoosp9Nog,watch,习习蛤蛤,2025-08-18 18:03:14
3,【强制社保】习近平的“改稻为桑” | 效仿嘉靖皇帝，中国财政绝望下的最后一刀,https://www.youtube.com/watch?v=29L6en35Jno&pp=ygUM5Lmg5Lmg6Juk6Juk,29L6en35Jno,watch,习习蛤蛤,2025-08-18 18:03:14
4,峰会无协议？川普泄露习总军事机密，还要拆散中俄；生财有道，基肯热再现极端防疫，事情闹的越大，捞金越易。,https://www.youtube.com/watch?v=_zx-_gitjc4&pp=ygUM5Lmg5Lmg6Juk6Juk,_zx-_gitjc4,watch,习习蛤蛤,2025-08-18 18:03:14
5,【膜蛤】蛤！,https://www.youtube.com/watch?v=aUiUFieiHRA&pp=ygUM5Lmg5Lmg6Juk6Juk,aUiUFieiHRA,watch,习习蛤蛤,2025-08-18 18:03:14
6,真正的暴力膜蛤！！ 膜到了中央电视台,https://www.youtube.com/watch?v=ojP7x8W-gqg&pp=ygUM5Lmg5Lmg6Juk6Juk,ojP7x8W-gqg,watch,习习蛤蛤,2025-08-18 18:03:14
7,【膜蛤】 蛤元甲（2020蛤诞祭单品）「人力VOCALOID」cover：江泽民,https://www.youtube.com/watch?v=vkWRc8M82o0&list=RDvkWRc8M82o0&start_radio=1&pp=ygUM5Lmg5Lmg6Juk6JukoAcB0gcJCa0JAYcqIYzv,vkWRc8M82o0,watch,习习蛤蛤,2025-08-18 18:03:14
8,【膜蛤+膜督】最炫膜蛤风（2020蛤诞祭单品）「人力VOCALOID」,https://www.youtube.com/watch?v=QLsGXPcXEM8&pp=ygUM5Lmg5Lmg6Juk6Juk,QLsGXPcXEM8,watch,习习蛤蛤,2025-08-18 18:03:14
9,【膜蛤+膜督】学蛤笑（2018蛤诞祭单品）「人力VOCALOID」,https://www.youtube.com/watch?v=FWfntqhprsM&list=RDFWfntqhprsM&start_radio=1&pp=ygUM5Lmg5Lmg6Juk6JukoAcB,FWfntqhprsM,watch,习习蛤蛤,2025-08-18 18:03:14
10,【膜蛤】老街「人力VOCALOID」,https://www.youtube.com/watch?v=LuRpF4Srii4&list=RDLuRpF4Srii4&start_radio=1&pp=ygUM5Lmg5Lmg6Juk6JukoAcB,LuRpF4Srii4,watch,习习蛤蛤,2025-08-18 18:03:14
11,【膜蛤+膜督】蛤路里（2020蛤诞祭单品）「人力VOCALOID」,https://www.youtube.com/watch?v=VmTdvHESiNM&list=RDVmTdvHESiNM&start_radio=1&pp=ygUM5Lmg5Lmg6Juk6JukoAcB,VmTdvHESiNM,watch,习习蛤蛤,2025-08-18 18:03:14
12,蛤丝日常2：整天就是习习蛤蛤，胡搞毛搞,https://www.youtube.com/watch?v=2hFXzYnEtNE&pp=ygUM5Lmg5Lmg6Juk6Juk,2hFXzYnEtNE,watch,习习蛤蛤,2025-08-18 18:03:14
13,【膜督+膜蛤】薄的随波逐流（2018蛤诞祭单品）「人力VOCALOID」,https://www.youtube.com/watch?v=LxXVfR62MII&list=RDLxXVfR62MII&start_radio=1&pp=ygUM5Lmg5Lmg6Juk6JukoAcB,LxXVfR62MII,watch,习习蛤蛤,2025-08-18 18:03:14
1,詹姆斯·芬內爾 中國正打造地海空立體的全方位作戰體系,https://www.youtube.com/watch?v=ze0i4-HfjvE&pp=ygUJ5aSn57qq5YWD,ze0i4-HfjvE,watch,大纪元,2025-08-18 18:03:56
2,理查德·費雪  中國不僅要稱霸地球  而且正推進太空霸權建設,https://www.youtube.com/watch?v=mPY_m0lvX_4&pp=ygUJ5aSn57qq5YWD,mPY_m0lvX_4,watch,大纪元,2025-08-18 18:03:56
3,大紀元編輯部特稿《中共醜陋面目大起底》（第一集）| #新唐人電視台,https://www.youtube.com/watch?v=hkHViSLIv6w&pp=ygUJ5aSn57qq5YWD,hkHViSLIv6w,watch,大纪元,2025-08-18 18:03:56
4,中共治下，毒食品層出不窮| #大紀元新聞網,https://www.youtube.com/watch?v=C2RxxfHeoyo&pp=ygUJ5aSn57qq5YWD,C2RxxfHeoyo,watch,大纪元,2025-08-18 18:03:56
5,婚禮宴席| #大紀元新聞網,https://www.youtube.com/watch?v=iqwLssmqkLg&pp=ygUJ5aSn57qq5YWD,iqwLssmqkLg,watch,大纪元,2025-08-18 18:03:56
6,明居正  共產主義之後（中國）可選擇的台灣發展之路,https://www.youtube.com/watch?v=2vb2TjEVwI0&pp=ygUJ5aSn57qq5YWD,2vb2TjEVwI0,watch,大纪元,2025-08-18 18:03:56
7,廣州，市民追問警察。| #大紀元新聞網   #Shorts,https://www.youtube.com/shorts/d8yjLMvk13A,d8yjLMvk13A,shorts,大纪元,2025-08-18 18:03:56
8,川普抵達阿拉斯加｜ #大紀元新聞網 8/15/2025,https://www.youtube.com/watch?v=ukgC8KDMFbw&pp=ygUJ5aSn57qq5YWD,ukgC8KDMFbw,watch,大纪元,2025-08-18 18:03:56
9,【#紀元播報】法媒：王岐山可能遇到了麻煩| #大紀元新聞網,https://www.youtube.com/watch?v=R5rs7Krz_CQ&pp=ygUJ5aSn57qq5YWD,R5rs7Krz_CQ,watch,大纪元,2025-08-18 18:03:56
10,大紀元編輯部特稿《中共醜陋面目大起底》（第二集）| #新唐人電視台,https://www.youtube.com/watch?v=ADc1nmYl6TU&pp=ygUJ5aSn57qq5YWD,ADc1nmYl6TU,watch,大纪元,2025-08-18 18:03:56
11,高仿真山寨鋼筋| #大紀元新聞網,https://www.youtube.com/watch?v=6wZMr3PKbOM&pp=ygUJ5aSn57qq5YWD,6wZMr3PKbOM,watch,大纪元,2025-08-18 18:03:56
12,【#大紀元直播片段】支持法輪功，停止信仰迫害！ ｜#大紀元新聞網,https://www.youtube.com/watch?v=T1msuw4Os2E&pp=ygUJ5aSn57qq5YWD,T1msuw4Os2E,watch,大纪元,2025-08-18 18:03:56
13,大紀元編輯部特稿《中共醜陋面目大起底》（第四集）| #新唐人電視台,https://www.youtube.com/watch?v=690AG-TyPss&pp=ygUJ5aSn57qq5YWD,690AG-TyPss,watch,大纪元,2025-08-18 18:03:56
14,神策智庫研討會：危機中的中共｜ #大紀元新聞網 8/2/2025,https://www.youtube.com/watch?v=bSu9_jv5K5M&pp=ygUJ5aSn57qq5YWD,bSu9_jv5K5M,watch,大纪元,2025-08-18 18:03:56
15,7歲美國公民被禁止離開中國,https://www.youtube.com/watch?v=3mCFyAOJC0Y&pp=ygUJ5aSn57qq5YWD,3mCFyAOJC0Y,watch,大纪元,2025-08-18 18:03:56
16,大紀元編輯部特稿《中共醜陋面目大起底》（第一集） | #大紀元新聞網,https://www.youtube.com/watch?v=AkdLFGiAWOY&pp=ygUJ5aSn57qq5YWD,AkdLFGiAWOY,watch,大纪元,2025-08-18 18:03:56
17,草木皆兵 中共最怕的「白紙」又開始了？,https://www.youtube.com/watch?v=0bYOrp1Elew&pp=ygUJ5aSn57qq5YWD,0bYOrp1Elew,watch,大纪元,2025-08-18 18:03:56
18,[𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 이곳은 더블레이즈 성지순례가 됩니다 ㅣ 더보이즈 콘서트 셋리스트 기원 플레이리스트,https://www.youtube.com/watch?v=uw1gqI7xlFY&list=RDuw1gqI7xlFY&start_radio=1&pp=ygUJ5aSn57qq5YWDoAcB,uw1gqI7xlFY,watch,大纪元,2025-08-18 18:03:56
19,Russia launches record number of drones at Ukraine after latest Trump-Putin phone call,https://www.youtube.com/watch?v=fwwm4wMM-10&pp=ygUJ5aSn57qq5YWD,fwwm4wMM-10,watch,大纪元,2025-08-18 18:03:56
20,Live: UN trade agency chiefs breaks down impact of US tariffs,https://www.youtube.com/watch?v=CMasJv52_Ek&pp=ygUJ5aSn57qq5YWD,CMasJv52_Ek,watch,大纪元,2025-08-18 18:03:56
21,【#聽紀元】聞欣：錢學森為何拒絕反對法輪功？| #大紀元新聞網,https://www.youtube.com/watch?v=L9jE0k8F5RA&pp=ygUJ5aSn57qq5YWD,L9jE0k8F5RA,watch,大纪元,2025-08-18 18:03:56
22,大紀元CEO警告：中共發動一場無聲的戰爭,https://www.youtube.com/watch?v=f8krFbQKv5c&pp=ygUJ5aSn57qq5YWD,f8krFbQKv5c,watch,大纪元,2025-08-18 18:03:56
1,我的白纸运动：一周年【李老师不是你老师】,https://www.youtube.com/watch?v=5XWH9Mx7Evg&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,5XWH9Mx7Evg,watch,李老师不是你老师,2025-08-18 18:04:38
2,李老师已黑化？从诺贝尔和平奖提名，发币再到611和牛马，过去几个月我都经历了什么,https://www.youtube.com/watch?v=KQ_rM3M5PJw&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI0gcJCa0JAYcqIYzv,KQ_rM3M5PJw,watch,李老师不是你老师,2025-08-18 18:04:38
3,退休金一万四？在北京公务员里算不上什么,https://www.youtube.com/shorts/moiYad9aleg,moiYad9aleg,shorts,李老师不是你老师,2025-08-18 18:04:38
4,旅居意大利的“李老师不是你老师”变身异议人士  针对政府删除消息他让国人了解国内事态,https://www.youtube.com/watch?v=zOcZwd7drNU&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,zOcZwd7drNU,watch,李老师不是你老师,2025-08-18 18:04:38
5,官方通报杭州臭水来自藻类，媒体给出数据怀疑不能排除粪水；习近平罕见批评地方官员不懂装懂，做三拍干部；俄罗斯近日对年轻人提出新法案：要么约会，要么劳改【雪花每日新闻】,https://www.youtube.com/watch?v=zm1TQoT3tHM&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,zm1TQoT3tHM,watch,李老师不是你老师,2025-08-18 18:04:38
6,工信部白名单来了，我们该如何安全翻墙？对话前360安全桌面负责人张雷【李老师不是你老师】,https://www.youtube.com/watch?v=RmCIrfkNj0U&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,RmCIrfkNj0U,watch,李老师不是你老师,2025-08-18 18:04:38
7,新华社宣布取消前记者顾万明退休待遇,https://www.youtube.com/shorts/Nnqa2vnDn_8,Nnqa2vnDn_8,shorts,李老师不是你老师,2025-08-18 18:04:38
8,医生不能发声，是社会的重症,https://www.youtube.com/shorts/Xf6kJYpIqc0,Xf6kJYpIqc0,shorts,李老师不是你老师,2025-08-18 18:04:38
9,讽刺“有辱国格”说法，女性网友把来月经叫“国潮来袭”；外卖商战引发底层矛盾，外卖员和奶茶店员激烈冲突；国家统计局宣布上半年中国GDP同比增长5.3%【雪花每日新闻】,https://www.youtube.com/watch?v=9k0AmWQd3pw&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,9k0AmWQd3pw,watch,李老师不是你老师,2025-08-18 18:04:38
10,德国法学博士发文主张翻墙触犯刑法；山西指标式反腐，每县交出一名干部；律师谢阳被曝遭看守所羞辱性检查【雪花每日新闻】,https://www.youtube.com/watch?v=h_iSBO0SF3Y&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,h_iSBO0SF3Y,watch,李老师不是你老师,2025-08-18 18:04:38
11,香港幼童合唱《国安法顶呱呱》纪念国安法实施五周年；韩国爆发大规模反华抗议，抗议者声称韩国大选存在中国干预；25届毕业大学生哭诉找工作难，工资低【雪花每日新闻】,https://www.youtube.com/watch?v=Yvt9zTdf_UY&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI0gcJCa0JAYcqIYzv,Yvt9zTdf_UY,watch,李老师不是你老师,2025-08-18 18:04:38
12,警察为讨薪的农民工撑腰,https://www.youtube.com/shorts/_f7FPj69p7M,_f7FPj69p7M,shorts,李老师不是你老师,2025-08-18 18:04:38
13,大评论运动【李老师不是你老师】,https://www.youtube.com/watch?v=apXYyB0-l1E&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,apXYyB0-l1E,watch,李老师不是你老师,2025-08-18 18:04:38
14,"白紙革命幕後推手是他? ""李老師不是你老師""即時轉發抗議畫面代網友發聲 坦言父母幾度被查水表飽受生命威脅 接受CNN專訪:這帳號比我的命重要｜記者 簡雪惠｜【國際大現場】20221209｜三立新聞台",https://www.youtube.com/watch?v=Ptx3oPotb4k&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,Ptx3oPotb4k,watch,李老师不是你老师,2025-08-18 18:04:38
15,聊聊“政治性抑郁”，以及我对抗政治性抑郁的经历【李老师不是你老师】,https://www.youtube.com/watch?v=WphmJBA246Q&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,WphmJBA246Q,watch,李老师不是你老师,2025-08-18 18:04:38
16,华侨富商、中共代理人安全忠在纽约被抓,https://www.youtube.com/shorts/Xy7bPQkMGCo,Xy7bPQkMGCo,shorts,李老师不是你老师,2025-08-18 18:04:38
17,李克强逝世，会引发新的民主运动吗？【李老师不是你老师】,https://www.youtube.com/watch?v=RurGnfUdiS0&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,RurGnfUdiS0,watch,李老师不是你老师,2025-08-18 18:04:38
18,对话网络审核员：一边审核别人，一边觉醒自己【李老师不是你老师】,https://www.youtube.com/watch?v=bAKKRbpm1Qc&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,bAKKRbpm1Qc,watch,李老师不是你老师,2025-08-18 18:04:38
19,为什么我推特上的160万关注者会被喝茶？,https://www.youtube.com/watch?v=UCr5Es83gW4&pp=ygUY5p2O6ICB5biI5LiN5piv5L2g6ICB5biI,UCr5Es83gW4,watch,李老师不是你老师,2025-08-18 18:04:38
1,方脸说：养老金算账！社保交的到底亏不亏？社保-中共的“人头税”！强制社保可能带来什么样的后果？,https://www.youtube.com/watch?v=jexOCiF3t64&pp=ygUP5aSa5Lym5aSa5pa56IS4,jexOCiF3t64,watch,多伦多方脸,2025-08-18 18:05:20
2,方脸说：江油事件，吹响中共灭亡号角！中国已经进入抗议时代！江油事件爆发的深层原因是什么？,https://www.youtube.com/watch?v=ROXx_tDFJdU&pp=ygUP5aSa5Lym5aSa5pa56IS4,ROXx_tDFJdU,watch,多伦多方脸,2025-08-18 18:05:20
3,方脸说：江油事件到底因和而起？受害者父母为什么不满？江油人民又为何而战？江油霸凌！,https://www.youtube.com/watch?v=ZwryCQrBolo&pp=ygUP5aSa5Lym5aSa5pa56IS4,ZwryCQrBolo,watch,多伦多方脸,2025-08-18 18:05:20
4,方脸说：新冠是实验室泄漏，中共投毒吗？,https://www.youtube.com/watch?v=B_mzoHFUsVo&pp=ygUP5aSa5Lym5aSa5pa56IS4,B_mzoHFUsVo,watch,多伦多方脸,2025-08-18 18:05:20
5,方脸说：比亚迪=恒大2.0？比亚迪会是下一个恒大吗？比亚迪吹响电动车泡沫！迪链丨债务率丨中国电动车,https://www.youtube.com/watch?v=JO_VZjFriSc&pp=ygUP5aSa5Lym5aSa5pa56IS40gcJCa0JAYcqIYzv,JO_VZjFriSc,watch,多伦多方脸,2025-08-18 18:05:20
6,方脸说：衰退时代-普通人的机会在哪里？衰退时代逆风增长的四大行业！养老丨消费降级丨娱乐丨移民,https://www.youtube.com/watch?v=rQshHim5Kao&pp=ygUP5aSa5Lym5aSa5pa56IS4,rQshHim5Kao,watch,多伦多方脸,2025-08-18 18:05:20
7,方脸说：2023年度十大事件盘点（上）,https://www.youtube.com/watch?v=cWFFE0N_OO4&pp=ygUP5aSa5Lym5aSa5pa56IS40gcJCa0JAYcqIYzv,cWFFE0N_OO4,watch,多伦多方脸,2025-08-18 18:05:20
8,方脸说：功过是非-邓小平！邓小平-改革的推进者，也是改革的阻碍者！邓小平与8964和改革开放！李鹏丨胡耀邦丨赵紫阳,https://www.youtube.com/watch?v=qRkP6za-M5c&pp=ygUP5aSa5Lym5aSa5pa56IS40gcJCa0JAYcqIYzv,qRkP6za-M5c,watch,多伦多方脸,2025-08-18 18:05:20
9,方脸说：注定到来的新冷战！一场996工作制 VS 八小时工作制的斗争！旧时代落幕，新时代开启！,https://www.youtube.com/watch?v=kDsYlroGJgY&pp=ygUP5aSa5Lym5aSa5pa56IS4,kDsYlroGJgY,watch,多伦多方脸,2025-08-18 18:05:20
10,留学＆移民到底要花多少钱？要怎么计算这个价格？今天教大家计算一下,https://www.youtube.com/watch?v=Y3EMuMeMJmo&pp=ygUP5aSa5Lym5aSa5pa56IS4,Y3EMuMeMJmo,watch,多伦多方脸,2025-08-18 18:05:20
11,方脸闲聊：来聊聊胡鑫宇案和各种可能性,https://www.youtube.com/watch?v=-x_hilEEs88&pp=ygUP5aSa5Lym5aSa5pa56IS4,-x_hilEEs88,watch,多伦多方脸,2025-08-18 18:05:20
12,方脸说：移民现在还是个好选择吗？该如何选择移民国家？,https://www.youtube.com/watch?v=BPvz7jy3nlY&pp=ygUP5aSa5Lym5aSa5pa56IS4,BPvz7jy3nlY,watch,多伦多方脸,2025-08-18 18:05:20
13,方脸说：这次的白纸抗议会和六四的结果不同吗？,https://www.youtube.com/watch?v=GIYvRvY8F7Y&pp=ygUP5aSa5Lym5aSa5pa56IS4,GIYvRvY8F7Y,watch,多伦多方脸,2025-08-18 18:05:20
14,方脸说：全盘西化等于背叛祖宗？给美国做狗？是耻辱？,https://www.youtube.com/watch?v=jD00ipegeTw&pp=ygUP5aSa5Lym5aSa5pa56IS4,jD00ipegeTw,watch,多伦多方脸,2025-08-18 18:05:20
15,揭秘各位国师，司马南，波士顿圆脸这些爱国粉红大V背后的男人,https://www.youtube.com/watch?v=Qmzzy-uyzig&pp=ygUP5aSa5Lym5aSa5pa56IS4,Qmzzy-uyzig,watch,多伦多方脸,2025-08-18 18:05:20
16,方脸说：器官买卖？过度医疗？罗帅宇之死，谁的过错？连线两位中国医生，浅谈中国医疗黑幕和医疗困境！谁是中国医疗问题的罪魁祸首？,https://www.youtube.com/watch?v=TlrBEtZ_s08&pp=ygUP5aSa5Lym5aSa5pa56IS40gcJCa0JAYcqIYzv,TlrBEtZ_s08,watch,多伦多方脸,2025-08-18 18:05:20
17,方脸说：中美对账-新时代的自欺欺人！从中美对账看中共的造谣手段！断章取义，自欺欺人，言论管控，新时代的赢学！,https://www.youtube.com/watch?v=3fU34JA7MlQ&pp=ygUP5aSa5Lym5aSa5pa56IS4,3fU34JA7MlQ,watch,多伦多方脸,2025-08-18 18:05:20
18,方脸说：做好长期衰退的准备，小心中产返贫，房地产暴跌问题！既然衰退无法避免，普通人应该如何应对？,https://www.youtube.com/watch?v=ud089O_-lNA&pp=ygUP5aSa5Lym5aSa5pa56IS4,ud089O_-lNA,watch,多伦多方脸,2025-08-18 18:05:20
19,方脸说：消失的秦刚！傅晓田和秦刚是否有染？目前对于秦刚的事情可以确定的事情有哪些？,https://www.youtube.com/watch?v=jIZ0rQMnSz8&pp=ygUP5aSa5Lym5aSa5pa56IS4,jIZ0rQMnSz8,watch,多伦多方脸,2025-08-18 18:05:20
20,方脸闲聊：看完发布会，再来谈谈胡鑫宇案，谈谈我的一些看法，以及到底真相会是如何,https://www.youtube.com/watch?v=eY7ch3s7Xuc&pp=ygUP5aSa5Lym5aSa5pa56IS4,eY7ch3s7Xuc,watch,多伦多方脸,2025-08-18 18:05:20
21,方脸说：被污名化的反贼，被扭曲的爱国主义！到底谁才是真的爱国者？爱国到底应该爱的是什么？为什么说按照当下粉红的标准，陈独秀，孙中山，毛泽东，鲁迅都是标准的反贼？粉红自己的行为才是误国者？,https://www.youtube.com/watch?v=7BSxyL1KGSQ&pp=ygUP5aSa5Lym5aSa5pa56IS4,7BSxyL1KGSQ,watch,多伦多方脸,2025-08-18 18:05:20
1,【习近平退休声明信笺】习近平在医院里口述由秘术写下这封退休声明信让胡锦涛温家宝曾庆红张又侠放心，他一定会退休|请各位要给他一点时间选择接班人|老习可能因为身体原因无法参加四中全会|建议推迟,https://www.youtube.com/watch?v=6_CNzdM8fkw&pp=ygUJ5Lmg6L-R5bmz,6_CNzdM8fkw,watch,习近平,2025-08-18 18:06:03
2,【习母齐心恳求元老留习近平一命】习近平母亲齐心在北戴河会议上的发言信笺曝光|习母表示习近平如今的独断专行都是她一手造成的，要批斗要清算就找她|习母恳求让习近平平稳退休过普通人的生活,https://www.youtube.com/watch?v=DF0YoJwqPsU&pp=ygUJ5Lmg6L-R5bmz,DF0YoJwqPsU,watch,习近平,2025-08-18 18:06:03
3,动手：习近平办公室主任韩世明被抓，杨兰兰是习远平亲生女儿，御林军最新公开表态。《老灯开讲第975期》,https://www.youtube.com/watch?v=bLWjzsOqeq0&pp=ygUJ5Lmg6L-R5bmz,bLWjzsOqeq0,watch,习近平,2025-08-18 18:06:03
4,习近平无意说的真话暴露出太多信息量！要用10年时间来洗地！,https://www.youtube.com/shorts/QZevWiuVURA,QZevWiuVURA,shorts,习近平,2025-08-18 18:06:03
5,习近平的倒台方式（一）| 江油事件会成为保路运动吗 | 王小洪管理派出所的办法管公安部 | 江油扇动了倒习大幕的蝴蝶效应 | 四川乱则天下乱,https://www.youtube.com/watch?v=qEuWh4ykts0&pp=ygUJ5Lmg6L-R5bmz,qEuWh4ykts0,watch,习近平,2025-08-18 18:06:03
6,【强制社保】习近平的“改稻为桑” | 效仿嘉靖皇帝，中国财政绝望下的最后一刀,https://www.youtube.com/watch?v=29L6en35Jno&pp=ygUJ5Lmg6L-R5bmz,29L6en35Jno,watch,习近平,2025-08-18 18:06:03
7,又，一恐怖级崩塌，习近平王朝的末日不远了,https://www.youtube.com/watch?v=jMxVou38FKA&pp=ygUJ5Lmg6L-R5bmz,jMxVou38FKA,watch,习近平,2025-08-18 18:06:03
8,2025习近平脑梗痊愈，试图重新集权却翻车，为何赵乐际装病公开唱反调？,https://www.youtube.com/watch?v=lBwX7bkKspY&pp=ygUJ5Lmg6L-R5bmz0gcJCa0JAYcqIYzv,lBwX7bkKspY,watch,习近平,2025-08-18 18:06:03
9,团派清算习近平，胡锦涛王者归来｜胡耀邦｜李克强｜胡春华,https://www.youtube.com/watch?v=Jd9RlyWhR98&pp=ygUJ5Lmg6L-R5bmz0gcJCa0JAYcqIYzv,Jd9RlyWhR98,watch,习近平,2025-08-18 18:06:03
10,昨日钟绍军失军权，今日韩世明失政权｜张又侠｜习近平｜习办主任,https://www.youtube.com/watch?v=p6n3fQgK1jo&pp=ygUJ5Lmg6L-R5bmz,p6n3fQgK1jo,watch,习近平,2025-08-18 18:06:03
11,中共政治局最新信号：保证习近平继续执政！越反习，越极权；习退位绝不会交棒给这三人 | #热点背景（20250722-2）,https://www.youtube.com/watch?v=t98v5XAJk_Q&pp=ygUJ5Lmg6L-R5bmz,t98v5XAJk_Q,watch,习近平,2025-08-18 18:06:03
12,北戴河会议结束，习近平无力回天｜胡锦涛｜胡春华｜汪洋,https://www.youtube.com/watch?v=4c04AgUMvBU&pp=ygUJ5Lmg6L-R5bmz,4c04AgUMvBU,watch,习近平,2025-08-18 18:06:03
13,翟山鹰：“习近平怎么可能轻易下台，听我的就好啦”#翟山鹰洞见 #翟山鹰 #中国眼,https://www.youtube.com/shorts/DGn1-bMCdGs,DGn1-bMCdGs,shorts,习近平,2025-08-18 18:06:03
14,邓朴方北戴河会议拍案怒斥习近平：我们邓家不是你的软柿子！老习你再敢动我们邓家试试！红色家族彻底翻脸？,https://www.youtube.com/watch?v=DQPVFGdY5k4&pp=ygUJ5Lmg6L-R5bmz,DQPVFGdY5k4,watch,习近平,2025-08-18 18:06:03
15,獨家重磅：北戴河會議胡錦濤和習近平首次交鋒！重炮全開發言稿洩露！張又俠獲得非常手段授權！是最後的底牌！,https://www.youtube.com/watch?v=a4uEENfojaw&pp=ygUJ5Lmg6L-R5bmz,a4uEENfojaw,watch,习近平,2025-08-18 18:06:03
16,兵谏：张又侠调动军队进驻北戴河，习张同归于尽权斗内幕流出，昆明市民街头呼吁习近平下台。《老灯开讲第973期》,https://www.youtube.com/watch?v=v1tomSoFcms&pp=ygUJ5Lmg6L-R5bmz,v1tomSoFcms,watch,习近平,2025-08-18 18:06:03
17,「美国习近平」降临！ ？川普的极限施压 要把AI、晶片到钢铁稀土全抓手中！ 【关键时刻】20250815-1 张炤和 黄世聪 林廷辉 王瑞德,https://www.youtube.com/watch?v=d1kV2OqO7So&pp=ygUJ5Lmg6L-R5bmz,d1kV2OqO7So,watch,习近平,2025-08-18 18:06:03
18,新任少林寺主持什么来头？|习近平亲自审查,https://www.youtube.com/shorts/Uqp18PsBCVc,Uqp18PsBCVc,shorts,习近平,2025-08-18 18:06:03
19,习近平如何毁了中国？极度自卑的小学生水平治国，后果多严重很严重！#翟山鹰 中国 #政治 #经济  #中共 #习近平,https://www.youtube.com/watch?v=PbJcK_je0RQ&pp=ygUJ5Lmg6L-R5bmz,PbJcK_je0RQ,watch,习近平,2025-08-18 18:06:03
20,习近平念错字尴尬名场面集，满脸喷粪的演讲水平 #习近平,https://www.youtube.com/shorts/Ale-ORmHlss,Ale-ORmHlss,shorts,习近平,2025-08-18 18:06:03
1,习近平回忆扛200斤麦子十里山路不换肩,https://www.youtube.com/watch?v=cdH-zKCQs1M&pp=ygUP5LqM55m-5pak6bqm5a2Q,cdH-zKCQs1M,watch,二百斤麦子,2025-08-18 18:06:44
2,【猛男挑戰習大大】實測 200斤麥子 十里山路不換肩 真的扛得住？！│健人腳勤│ 2020ep28,https://www.youtube.com/watch?v=LAsEmW4KsbI&pp=ygUP5LqM55m-5pak6bqm5a2Q0gcJCa0JAYcqIYzv,LAsEmW4KsbI,watch,二百斤麦子,2025-08-18 18:06:44
3,《200斤》——讽刺搞笑歌曲。,https://www.youtube.com/watch?v=mjhr5uWhF50&list=RDmjhr5uWhF50&start_radio=1&pp=ygUP5LqM55m-5pak6bqm5a2QoAcB,mjhr5uWhF50,watch,二百斤麦子,2025-08-18 18:06:44
